player_total,is_soft,dealer_up,true_count,action,EV,samples
20,False,2,0,S,0.698,43
14,False,7,0,H,-0.472,36
12,False,3,0,H,-0.267,30
16,False,10,0,R,-0.5,90
15,False,9,0,H,-0.361,36
17,False,8,0,S,-0.611,18
10,False,10,0,H,-0.082,61
12,False,10,0,H,-0.231,121
15,False,10,0,R,-0.5,84
12,False,8,0,H,-0.114,44
11,False,11,0,N,-0.533,15
15,False,4,0,S,-0.6,20
15,True,11,0,N,-0.75,4
20,False,3,0,S,0.705,44
7,False,10,0,H,-0.25,28
16,False,7,0,H,-0.286,21
13,False,3,0,S,0.0,28
16,False,2,0,S,-0.048,21
19,True,4,0,S,0.0,5
20,False,4,0,S,0.696,23
16,False,10,0,P,-0.455,11
17,False,11,0,N,-0.672,29
11,False,10,0,D,0.123,81
8,False,6,0,P,-3.0,2
18,False,8,1,S,0.0,6
15,False,10,1,R,-0.5,31
8,False,11,0,N,-0.167,12
13,False,10,0,H,-0.459,122
18,False,10,0,S,-0.037,82
9,False,6,0,D,1.5,8
12,False,11,0,N,-0.217,23
14,False,8,1,H,-0.2,5
20,False,10,0,S,0.595,131
14,False,10,0,H,-0.483,89
19,False,3,0,S,0.462,26
13,False,3,-1,S,-0.2,5
15,False,10,-1,R,-0.5,30
16,False,11,-1,N,-0.636,11
19,False,2,-1,S,0.444,9
6,False,3,-2,H,-0.667,3
17,False,6,-2,S,-1.0,1
10,False,10,-1,H,-0.182,11
20,False,2,-1,S,0.6,5
16,False,6,-1,S,-0.556,9
18,False,9,-1,P,2.0,1
21,True,7,0,S,1.5,25
17,False,11,-2,N,-0.6,5
12,False,4,-2,S,-0.2,5
13,True,8,-2,H,-1.0,1
21,True,5,-3,S,1.5,3
14,False,3,-4,S,-1.0,1
18,False,6,-4,P,-2.0,1
12,False,5,0,P,2.667,3
8,False,6,1,H,0.4,5
10,False,7,1,D,-0.5,4
18,False,9,1,S,-0.667,3
13,False,10,1,H,-0.8,40
13,False,9,1,H,-0.333,12
9,False,10,1,H,0.167,12
9,False,9,1,H,-0.5,2
18,False,10,1,S,-0.222,18
19,False,3,1,S,0.571,7
10,False,10,1,H,0.286,14
17,False,5,1,S,0.5,4
12,False,10,1,H,-0.5,30
12,False,5,1,S,0.091,11
7,False,6,1,H,0.0,4
4,False,10,1,H,0.0,2
20,False,6,2,S,0.0,4
5,False,9,1,H,0.0,2
17,True,2,1,H,1.0,1
13,True,10,1,H,-0.6,5
20,False,11,1,N,-0.1,10
16,False,7,1,H,-0.5,8
16,False,10,1,R,-0.5,20
7,False,10,1,H,-0.353,17
12,False,7,1,H,-1.0,7
5,False,10,0,H,-0.391,23
8,False,5,0,H,0.4,10
18,False,11,1,N,-0.273,11
17,False,4,0,S,-0.375,24
13,True,4,1,H,0.5,2
13,False,2,1,S,-1.0,7
20,False,8,2,S,1.0,3
16,False,2,1,S,-0.333,6
16,False,6,3,S,0.0,2
12,False,10,2,H,-0.5,8
9,False,10,2,H,-0.143,7
8,False,8,3,H,-1.0,1
19,True,4,4,S,-1.0,1
11,False,8,4,D,0.0,2
20,False,10,4,S,0.444,9
12,False,10,4,H,-0.6,5
16,False,11,4,N,-1.0,1
19,True,8,4,S,0.0,1
16,False,3,3,S,-1.0,3
14,True,10,4,H,0.667,3
18,True,9,4,H,-1.0,1
17,False,10,4,S,-0.2,5
19,False,3,3,S,0.5,4
22,True,3,0,P,0.5,2
18,False,9,0,S,0.0,21
10,False,6,0,D,0.8,25
17,False,10,0,S,-0.513,76
10,False,8,0,D,-0.143,14
9,False,3,0,D,0.4,10
11,False,4,0,D,0.25,16
14,False,11,1,N,-0.167,6
19,True,10,1,S,0.0,3
20,False,10,1,S,0.667,27
12,False,9,0,H,-0.469,32
9,False,2,0,H,-0.154,13
19,False,10,1,S,0.316,19
11,False,6,1,D,0.8,5
10,False,5,1,D,1.143,7
20,False,7,1,S,1.0,6
19,True,2,0,S,0.545,11
14,False,6,0,S,-0.231,26
16,False,9,0,R,-0.5,19
18,False,5,1,S,0.333,3
9,False,11,1,N,-0.5,4
7,False,5,1,H,0.75,4
14,False,10,1,H,-0.429,28
9,False,8,1,H,-1.0,2
20,True,9,1,S,1.0,2
15,False,6,0,S,-0.143,28
14,True,10,0,H,-0.167,18
20,True,10,0,S,0.727,11
13,False,2,0,S,-0.118,34
10,False,2,1,D,0.0,6
10,False,5,2,D,0.0,4
13,False,6,3,S,-1.0,2
21,True,5,4,S,1.5,1
18,True,3,4,D,-2.0,1
18,False,6,4,S,0.0,2
16,False,10,4,R,-0.5,5
15,False,4,4,S,0.0,2
18,False,7,4,S,1.0,3
16,False,2,5,S,-1.0,1
13,False,5,5,S,-1.0,1
8,False,5,5,H,1.0,1
11,False,8,6,D,-2.0,1
21,True,7,7,S,1.5,1
20,False,11,5,N,-0.5,4
15,False,11,5,N,-0.5,2
14,False,5,5,S,0.333,3
12,False,3,4,H,-0.333,3
12,False,2,4,H,0.0,2
12,False,4,5,S,-1.0,1
18,True,4,5,D,-2.0,1
8,False,9,6,H,-1.0,1
15,False,8,8,H,1.0,1
16,False,10,10,R,-0.5,1
18,False,7,10,S,1.0,1
18,False,7,9,S,1.0,1
14,False,2,0,S,-0.448,29
15,False,8,0,H,-0.571,28
19,False,11,0,N,-0.733,15
13,False,6,0,S,-0.226,31
12,False,6,0,S,-0.029,35
8,False,9,0,H,-0.4,5
6,False,10,0,H,-0.3,20
14,False,11,0,N,-0.667,39
9,False,8,0,H,0.286,14
21,True,10,0,S,1.5,69
18,True,10,0,H,0.0,14
16,False,2,-1,S,-0.2,10
16,False,6,-1,P,2.0,1
19,False,5,-1,S,0.5,4
7,False,6,-1,H,-0.333,3
11,False,8,0,D,0.381,21
12,False,8,-1,H,-0.091,11
17,False,2,-1,S,0.333,6
16,False,10,-1,R,-0.5,16
5,False,10,-1,H,0.5,4
20,False,4,-1,S,0.75,8
13,False,10,-1,H,-0.222,27
17,True,10,-2,H,0.0,4
15,False,4,-2,S,-1.0,2
18,False,3,-2,S,0.333,3
19,False,4,-2,S,0.2,5
9,False,10,-3,H,1.0,2
12,False,9,-3,H,-0.333,6
22,True,2,-2,P,2.0,2
14,False,10,-3,H,-0.75,8
16,False,3,-4,S,-1.0,2
16,False,5,-4,S,-1.0,1
13,False,10,-4,H,0.2,5
17,False,5,-4,S,-0.667,3
11,False,2,-4,D,2.0,2
20,False,10,-4,S,1.0,1
7,False,5,-6,H,1.0,1
20,False,3,-6,S,1.0,1
16,False,6,-6,P,-1.0,1
11,False,8,-5,D,0.0,2
9,False,10,-6,H,-1.0,2
20,False,7,-6,S,1.0,1
14,False,2,-8,S,-1.0,1
8,False,10,-7,H,-1.0,1
10,False,10,-7,H,0.0,1
14,False,5,-8,S,-1.0,1
12,False,11,-7,N,1.0,1
12,False,4,0,S,-0.158,38
11,False,3,0,D,1.333,9
20,False,7,0,S,0.886,35
15,True,5,0,D,-0.8,10
16,True,11,0,N,-0.5,4
6,False,7,0,H,0.714,7
20,True,11,0,N,-1.0,3
14,False,9,-1,H,-0.2,5
6,False,3,-1,H,0.0,4
16,True,9,0,H,0.2,5
9,False,5,-1,D,1.0,4
4,False,10,0,H,0.125,8
14,False,8,0,H,-0.571,21
7,False,9,0,H,-0.625,8
17,True,3,0,D,0.0,4
16,False,5,0,S,-0.333,15
7,False,3,0,H,0.667,9
18,False,9,1,P,-2.0,1
21,True,7,1,S,1.5,7
20,False,9,0,S,0.857,35
13,False,8,0,H,-0.32,25
14,True,11,0,N,-0.714,7
20,True,8,0,S,0.5,4
10,False,11,0,N,0.0,13
22,True,8,-1,P,0.0,1
16,False,10,-3,R,-0.5,8
14,False,6,-3,S,-0.333,3
5,False,6,-2,H,-1.0,1
18,False,8,-1,S,-0.2,5
7,False,2,-1,H,-1.0,2
12,False,10,-1,H,-0.417,36
8,False,10,-1,H,-0.357,14
20,False,10,-1,S,0.5,28
7,False,6,-3,H,-0.333,3
13,False,10,-2,H,-0.105,19
15,False,4,-3,S,-1.0,2
12,False,10,-5,H,0.0,2
12,False,8,-5,H,1.0,1
19,False,9,0,S,0.158,19
19,False,5,0,S,-0.05,20
7,False,8,0,H,-0.385,13
9,False,11,0,N,-0.176,17
21,True,5,0,S,1.5,19
20,False,8,0,S,0.853,34
15,True,10,0,H,-0.526,19
21,True,8,0,S,1.5,17
17,False,9,0,S,-0.85,20
17,False,2,0,S,-0.235,17
18,False,7,0,S,0.621,29
17,False,7,-1,S,0.2,5
12,False,2,-1,H,-0.111,9
15,False,3,0,S,-0.154,26
12,False,5,0,S,-0.29,31
16,False,4,0,S,0.0,14
6,False,6,0,H,0.2,5
13,False,4,0,S,0.0,30
17,False,5,0,S,0.188,32
12,False,2,0,H,-0.435,23
5,False,7,0,H,-0.714,7
16,False,5,1,S,-0.143,7
11,False,4,2,D,1.0,2
19,False,6,2,S,1.0,3
15,False,10,2,R,-0.5,14
12,False,11,1,N,-0.533,15
17,False,2,1,S,0.0,4
14,True,3,0,H,-0.5,4
14,True,5,0,D,0.0,7
12,False,9,1,H,-0.727,11
14,False,4,2,S,-0.143,7
14,False,10,2,H,-0.4,15
22,True,10,4,P,2.0,1
11,False,7,5,D,2.0,1
7,False,4,5,H,1.0,1
13,True,4,0,H,0.0,6
13,False,9,0,H,-0.233,30
15,False,11,0,N,-0.603,29
15,False,7,0,H,-0.269,26
18,False,3,1,S,0.111,9
17,False,6,1,S,0.0,3
20,False,5,1,S,1.0,6
19,False,7,0,S,0.438,16
20,False,6,0,S,0.629,35
9,False,10,0,H,-0.13,54
8,False,3,0,H,-0.133,15
21,True,10,1,S,1.5,19
9,False,4,0,D,1.25,8
8,False,10,0,H,-0.409,44
18,False,6,1,S,0.0,4
19,False,5,1,S,0.2,5
4,False,8,0,H,-0.333,3
21,True,11,0,N,1.269,13
15,True,9,-1,H,-1.0,1
14,False,9,0,H,-0.407,27
15,True,10,1,H,0.0,5
13,False,2,-2,S,-0.2,5
14,True,10,-2,H,-0.4,5
18,False,10,-1,S,-0.294,17
11,False,9,-2,D,1.333,3
16,False,3,0,S,-0.667,12
17,True,4,0,D,-1.556,9
20,False,5,0,S,0.475,40
16,False,8,0,H,-0.636,11
13,False,5,0,S,-0.368,38
16,True,10,0,H,0.0,16
10,False,2,0,D,0.154,13
14,False,4,0,S,-0.273,22
14,False,6,1,S,-0.5,8
15,False,8,1,H,-0.25,8
13,False,6,1,S,0.0,4
14,False,3,1,S,-1.0,5
9,False,2,2,H,0.0,2
13,False,7,3,H,-1.0,3
13,False,8,3,H,1.0,2
20,False,6,3,S,1.0,3
21,True,3,2,S,1.5,3
10,False,4,1,D,0.667,3
16,False,10,2,R,-0.5,15
13,True,6,2,D,0.0,2
11,False,5,3,D,1.0,4
20,False,9,3,S,1.0,4
13,False,7,2,H,-0.556,9
19,False,2,2,S,1.0,1
10,False,10,2,H,-0.4,15
11,False,8,2,D,0.0,2
14,False,7,2,H,-0.333,3
20,False,10,2,S,0.524,21
16,True,6,2,D,2.0,1
6,False,3,2,H,-1.0,1
12,False,7,3,H,-1.0,2
11,False,6,3,D,1.333,3
17,True,10,4,H,-1.0,1
17,False,8,3,S,0.0,1
12,False,10,3,H,-0.429,7
12,False,2,3,H,0.2,5
14,False,7,3,H,0.0,2
10,False,6,4,D,-2.0,1
19,True,11,5,N,-1.0,1
7,False,9,4,H,-0.5,2
13,False,5,6,S,0.0,2
7,False,4,6,H,1.0,1
18,False,9,7,S,1.0,1
10,False,3,7,D,-2.0,1
12,False,7,0,H,-0.351,37
19,False,10,0,S,0.032,62
14,False,3,0,S,-0.333,33
20,False,11,0,N,0.206,34
13,False,7,-1,H,0.429,7
11,False,9,-1,D,0.8,5
13,False,11,-1,N,-1.0,3
19,False,4,-1,S,0.667,6
12,False,9,-1,H,-0.364,11
7,False,4,-1,H,-1.0,3
11,False,9,0,D,0.091,22
15,False,2,0,S,-0.4,20
19,False,8,0,S,0.75,20
8,False,7,-1,H,0.75,4
20,False,9,-1,S,0.4,5
16,False,11,-2,N,-1.0,1
9,False,11,-2,N,-0.6,5
16,False,4,-2,S,1.0,4
13,False,4,-2,S,-0.333,6
13,True,3,-1,H,-0.667,6
13,False,2,-1,S,-0.5,12
6,False,8,-2,H,-0.25,4
16,False,7,-1,H,-0.667,6
13,True,6,-1,D,-2.0,2
18,False,9,-1,S,-0.75,8
14,False,5,-1,S,-1.0,5
19,False,11,-1,N,0.4,5
17,False,4,-1,S,0.0,9
11,False,4,-2,D,1.5,4
20,False,2,-2,S,0.667,3
11,False,2,-3,D,-0.667,3
15,True,10,-2,H,0.25,4
14,False,3,-2,P,0.0,1
7,False,3,-2,H,0.0,2
16,False,10,-2,R,-0.5,6
17,False,7,-2,S,-0.429,7
20,True,3,-4,S,1.0,1
14,True,5,-4,D,2.0,1
8,False,2,-4,H,1.0,1
5,False,3,-3,H,-1.0,1
9,False,5,0,D,0.133,15
15,True,5,1,D,2.0,2
19,False,6,1,S,0.6,5
21,True,4,1,S,1.5,1
16,False,3,1,S,-0.714,7
19,False,9,1,S,-0.333,3
14,True,2,1,H,-0.25,4
22,True,10,1,P,0.8,5
13,False,11,0,N,-0.5,26
7,False,7,0,H,0.222,9
5,False,11,0,N,-0.625,8
18,True,5,0,D,-0.8,5
18,False,2,0,S,0.455,22
18,True,9,0,H,-0.75,4
20,False,11,-1,N,0.5,8
8,False,2,0,H,-0.222,9
18,False,8,0,S,0.375,16
10,False,4,0,D,-0.133,15
6,False,11,0,N,-0.667,12
4,False,6,0,P,-2.667,3
10,False,5,-1,D,0.667,6
21,True,9,0,S,1.5,15
14,False,6,-1,S,0.333,9
18,False,5,-1,S,0.75,4
18,False,3,-1,S,0.2,10
8,False,7,0,H,0.111,9
6,False,11,-1,N,-0.6,5
19,True,10,0,S,0.5,14
10,False,7,0,D,0.533,15
18,False,8,1,P,3.0,1
20,False,2,1,S,1.0,6
11,False,10,1,D,0.182,11
13,False,5,1,S,0.0,6
8,False,11,1,N,-1.0,1
16,True,11,1,N,0.0,2
20,False,4,1,S,0.429,7
10,False,3,0,D,-0.182,11
21,True,6,1,S,1.5,6
15,False,7,1,H,-1.0,5
15,False,3,2,S,0.0,2
16,False,6,2,S,1.0,2
19,False,8,2,S,1.0,4
19,False,3,2,S,0.0,3
19,False,4,2,S,1.0,2
7,False,8,2,H,1.0,2
16,True,10,3,H,0.0,2
20,False,2,3,S,0.5,4
14,False,10,3,H,-0.556,9
11,False,3,3,D,-2.0,1
15,False,4,3,S,0.0,4
20,False,8,3,S,0.6,5
20,False,10,3,S,0.75,12
21,True,10,2,S,1.5,19
16,True,6,1,D,-0.667,3
10,False,3,2,D,-1.0,4
14,False,2,2,S,-0.143,7
17,False,11,1,N,-0.7,5
17,False,10,-2,S,0.571,7
21,True,9,-3,S,1.5,1
16,True,3,0,H,-0.222,9
17,False,10,1,S,-0.52,25
6,False,5,1,P,-3.0,1
20,False,3,1,S,0.75,8
16,False,6,1,S,-0.2,5
18,True,6,1,D,-2.0,1
14,False,9,1,H,-0.7,10
14,True,8,1,H,1.0,2
16,False,8,2,H,-0.667,6
7,False,3,1,H,0.0,2
12,False,5,2,S,-1.0,5
15,True,4,2,D,0.0,2
17,True,10,2,H,0.0,2
10,False,6,2,D,-0.4,5
5,False,11,2,N,1.0,1
19,False,10,2,S,-0.538,13
12,False,8,3,H,0.0,2
15,True,8,3,H,-1.0,1
18,False,10,2,S,0.091,11
13,True,8,2,H,-1.0,1
15,False,2,2,S,-0.143,7
6,False,10,2,H,-0.333,3
14,False,3,3,S,0.0,2
21,True,2,3,S,1.5,2
15,True,10,4,H,-1.0,2
13,False,10,3,H,-0.714,7
7,False,4,2,H,1.0,1
21,True,10,3,S,1.5,6
4,False,5,1,P,-1.0,2
11,False,10,3,D,0.0,4
15,False,7,2,H,-0.333,3
10,False,10,4,H,0.25,8
19,False,10,4,S,0.2,5
15,False,9,2,H,-0.333,6
8,False,10,2,H,0.375,8
17,False,6,0,S,-0.105,19
11,False,7,0,D,1.0,16
19,True,9,0,S,0.8,5
8,False,5,0,P,2.5,2
19,False,9,-1,S,-0.667,3
11,False,11,-1,N,1.2,5
12,False,5,-1,S,-0.333,15
16,True,8,-1,H,0.0,2
17,False,10,-1,S,-0.471,17
8,False,4,-1,H,-0.143,7
19,False,10,-1,S,0.0,16
9,False,8,-1,H,-0.833,6
15,False,8,-1,H,-0.444,9
12,False,4,-1,S,-0.25,8
13,False,6,-1,S,-0.333,6
20,False,6,-2,S,0.833,6
9,False,5,-2,D,0.0,2
14,False,8,-2,H,-0.333,3
7,False,6,-2,H,0.25,4
14,False,2,-1,S,-0.6,10
21,True,10,-1,S,1.5,9
13,False,3,-2,S,-1.0,4
17,True,6,-1,D,2.0,2
19,False,3,-2,S,1.0,3
13,False,9,-1,H,-0.333,3
15,False,11,-1,N,-0.5,4
15,False,7,-2,H,-0.25,4
16,False,7,-2,H,-1.0,3
19,True,3,-1,S,0.5,4
15,False,8,-2,H,-1.0,3
15,False,9,-1,H,-0.333,6
10,False,3,-1,D,1.5,4
13,False,4,-1,S,-0.286,14
18,False,7,-2,S,0.0,2
11,False,10,-3,D,-2.0,4
13,True,3,-2,H,0.333,3
12,False,6,-2,S,-0.429,7
9,False,2,-1,H,0.333,3
4,False,4,-2,P,-1.5,2
16,False,2,-1,P,3.5,2
14,False,3,-1,P,-0.5,2
6,False,10,-1,H,-0.286,7
16,False,8,-2,H,-0.333,6
12,False,2,-2,H,-1.0,3
20,False,5,-2,S,0.667,6
21,True,5,-2,S,1.5,2
21,True,7,-3,S,1.5,1
21,True,8,-3,S,1.5,2
12,False,7,-4,H,0.333,3
12,False,10,-4,H,0.0,4
13,False,6,-6,S,0.0,2
13,False,11,-6,N,-1.0,1
16,False,10,-6,R,-0.5,1
14,False,10,-7,H,1.0,1
16,False,5,-7,S,-1.0,1
17,True,7,-7,H,1.0,1
20,False,8,-6,S,1.0,1
15,False,10,-6,R,-0.5,1
13,False,7,-7,H,-1.0,1
16,False,3,-6,S,-1.0,1
11,False,4,-6,D,0.0,1
16,False,4,-5,S,-1.0,1
13,True,9,-5,H,1.0,1
14,True,9,-5,H,0.0,1
15,False,4,-4,S,0.0,2
15,False,2,-3,S,-1.0,2
13,False,3,-4,S,-0.6,5
16,False,11,-4,N,-0.5,1
20,False,2,-4,S,1.0,1
9,False,10,-5,H,-0.333,3
20,False,2,-5,S,1.0,2
19,True,5,-6,S,1.0,1
11,False,10,-4,D,-2.0,2
13,False,10,-5,H,-1.0,3
14,False,9,-5,H,-1.0,1
14,False,10,-5,H,0.0,1
18,False,6,0,S,0.0,18
16,False,5,0,P,-1.5,2
14,True,6,0,D,-1.0,4
17,False,3,0,S,-0.043,23
13,True,6,0,D,0.667,6
18,False,3,0,S,-0.438,16
15,True,2,0,H,0.333,3
21,True,4,0,S,1.5,14
21,True,9,1,S,1.5,5
13,False,11,1,N,-0.5,4
15,False,11,1,N,-0.611,9
20,False,9,1,S,0.909,11
11,False,4,1,D,-1.2,5
5,False,10,2,H,-0.25,4
20,True,4,2,S,0.5,2
14,False,11,2,N,-1.0,5
19,False,7,1,S,0.5,4
6,False,7,1,H,0.0,2
16,False,11,1,N,-0.583,6
4,False,3,0,P,2.0,2
20,True,6,1,S,1.0,2
14,False,6,2,P,0.5,2
18,False,7,5,S,1.0,2
20,False,9,4,S,1.0,3
15,False,11,4,N,-0.5,2
16,False,2,4,S,1.0,1
11,False,6,0,D,1.385,13
15,True,6,1,D,-0.667,3
12,False,8,1,H,0.333,6
11,False,2,0,D,1.0,12
6,False,6,1,H,-1.0,1
19,False,8,1,S,0.8,5
16,True,4,1,D,0.0,2
15,False,6,1,S,-0.143,7
15,False,6,2,S,0.333,3
20,False,3,2,S,0.8,5
14,False,3,2,S,1.0,4
13,False,10,2,H,-0.583,12
19,True,10,2,S,-1.0,2
14,False,2,1,S,-0.667,6
16,True,10,1,H,0.5,4
8,False,2,1,H,0.5,4
15,False,11,2,N,-0.786,7
13,False,6,2,S,-0.333,3
15,False,11,3,N,-0.75,2
4,False,3,3,P,0.0,2
13,False,8,4,H,1.0,1
13,False,5,4,S,-1.0,1
18,False,11,4,N,-1.0,3
21,True,9,4,S,1.5,2
13,False,11,5,N,-1.0,1
16,False,10,3,R,-0.5,6
19,False,9,3,S,0.0,4
9,False,9,3,H,1.0,1
21,True,7,3,S,1.5,2
12,False,6,3,S,1.0,2
19,True,10,3,S,1.0,2
20,False,4,3,S,0.8,5
12,False,9,3,H,-0.333,6
9,False,8,2,H,0.333,3
15,False,4,1,S,-1.0,6
15,False,8,2,H,0.5,2
8,False,11,3,N,-1.0,1
6,False,8,-1,H,-1.0,1
20,True,6,-1,S,1.0,1
9,False,3,-1,D,0.0,2
14,False,10,-1,H,-0.435,23
15,False,5,-1,S,-0.6,5
4,False,5,-1,P,4.0,1
11,False,2,-1,D,-0.5,4
20,False,10,-3,S,0.667,6
17,False,10,-3,S,0.0,3
7,False,9,-3,H,1.0,1
7,False,10,-3,H,1.0,1
19,True,10,-2,S,1.0,2
12,False,2,-3,H,0.2,5
8,False,10,-3,H,0.0,2
13,False,6,-3,S,1.0,1
9,False,5,-3,D,-2.0,1
10,False,11,-2,N,-0.5,4
16,False,6,-2,S,-1.0,1
13,False,8,-1,H,-0.778,9
10,False,9,-2,D,0.0,2
14,True,3,-1,H,-1.0,1
11,False,3,-1,D,-0.667,6
9,False,11,-1,N,0.143,7
13,True,9,0,H,0.0,4
19,True,6,0,D,-0.667,3
11,False,4,-1,D,0.0,10
17,False,11,-1,N,-0.667,6
9,False,6,-2,D,-0.667,3
16,False,6,0,S,-0.304,23
19,False,6,0,S,0.529,17
8,False,6,0,H,0.182,11
10,False,9,0,D,-0.533,15
18,False,3,0,P,0.0,1
20,True,3,0,S,1.0,4
12,False,11,-1,N,-0.2,5
20,False,7,-1,S,0.5,10
8,False,6,-2,H,0.333,3
11,False,3,-2,D,0.857,7
20,False,4,-2,S,0.667,3
20,False,10,-2,S,0.412,17
6,False,10,-3,H,-0.333,3
13,True,6,-3,D,-2.0,1
18,False,3,-3,S,1.0,2
14,False,9,-3,H,0.0,4
16,False,9,-3,R,-0.5,2
17,False,11,-3,N,-0.5,1
12,False,11,-3,N,-0.333,3
13,False,10,-3,H,0.0,4
11,False,4,-4,D,-2.0,2
10,False,10,-2,H,0.0,10
13,True,7,-2,H,1.0,3
