player_total,is_soft,dealer_up,true_count,EV,samples
20,False,2,0,0.698,43
13,False,10,0,-0.511,135
14,False,7,0,-0.405,37
12,False,3,0,-0.375,32
16,False,10,0,-0.519,106
15,False,9,0,-0.361,36
17,False,8,0,-0.611,18
10,False,10,0,-0.233,73
12,False,10,0,-0.29,131
15,False,10,0,-0.548,93
12,False,8,0,-0.114,44
11,False,11,0,-0.533,15
15,False,4,0,-0.6,20
15,True,11,0,-0.75,4
20,False,3,0,0.705,44
7,False,10,0,-0.276,29
16,False,7,0,-0.286,21
13,False,3,0,0.0,28
16,False,2,0,-0.048,21
19,True,4,0,0.0,5
20,False,4,0,0.696,23
17,False,11,0,-0.672,29
11,False,10,0,0.071,85
8,False,6,0,-0.308,13
18,False,8,1,0.429,7
15,False,10,1,-0.5,31
8,False,11,0,-0.167,12
18,False,10,0,-0.132,91
9,False,6,0,1.5,8
12,False,11,0,-0.217,23
14,False,8,1,-0.2,5
20,False,10,0,0.504,139
14,False,10,0,-0.549,102
19,False,3,0,0.462,26
13,False,3,-1,-0.2,5
15,False,10,-1,-0.516,31
16,False,11,-1,-0.636,11
19,False,2,-1,0.444,9
6,False,3,-2,-0.667,3
17,False,6,-2,-1.0,1
10,False,10,-1,-0.308,13
20,False,2,-1,0.6,5
16,False,6,-1,-0.3,10
18,False,9,-1,-0.444,9
21,True,7,0,1.5,25
17,False,11,-2,-0.6,5
12,False,4,-2,-0.2,5
13,True,8,-2,-1.0,1
21,True,5,-3,1.5,3
14,False,3,-4,-1.0,1
18,False,6,-4,-0.5,2
12,False,5,0,-0.029,34
8,False,6,1,0.4,5
10,False,7,1,-0.5,4
18,False,9,1,-1.0,4
19,False,10,2,-0.571,14
13,False,10,1,-0.81,42
13,False,9,1,-0.333,12
9,False,10,1,0.077,13
9,False,9,1,-0.5,2
18,False,10,1,-0.263,19
19,False,3,1,0.571,7
10,False,10,1,0.0,18
17,False,5,1,0.5,4
12,False,10,1,-0.571,35
12,False,5,1,0.091,11
7,False,6,1,0.0,4
4,False,10,1,0.0,2
20,False,6,2,0.0,4
5,False,9,1,0.0,2
17,True,2,1,1.0,1
13,True,10,1,-0.667,6
20,False,11,1,-0.1,10
16,False,7,1,-0.1,10
16,False,10,1,-0.714,28
7,False,10,1,-0.353,17
12,False,7,1,-1.0,7
5,False,10,0,-0.44,25
8,False,5,0,0.75,12
18,False,11,1,-0.273,11
17,False,4,0,-0.375,24
13,True,4,1,0.5,2
13,False,2,1,-1.0,7
20,False,8,2,1.0,3
16,False,2,1,-0.333,6
16,False,6,3,0.0,2
12,False,10,2,-0.5,8
9,False,10,2,-0.143,7
8,False,8,3,-1.0,1
19,True,4,4,-1.0,1
11,False,8,4,0.0,2
20,False,10,4,0.182,11
12,False,10,4,-0.75,8
16,False,11,4,-1.0,1
19,True,8,4,0.0,1
16,False,3,3,-1.0,3
14,True,10,4,0.667,3
18,True,9,4,-1.0,1
17,False,10,4,-0.2,5
19,False,3,3,0.5,4
21,True,10,2,1.425,20
22,True,3,0,0.5,2
18,False,9,0,-0.045,22
10,False,6,0,0.8,25
17,False,10,0,-0.537,80
10,False,8,0,-0.143,14
9,False,3,0,0.4,10
11,False,4,0,0.25,16
14,False,11,1,-0.167,6
19,True,10,1,0.0,3
20,False,10,1,0.406,32
12,False,9,0,-0.469,32
9,False,2,0,-0.154,13
19,False,10,1,0.19,21
11,False,6,1,0.8,5
10,False,5,1,1.143,7
20,False,7,1,1.0,6
19,True,2,0,0.545,11
14,False,6,0,-0.103,29
16,False,9,0,-0.5,19
18,False,5,1,0.333,3
9,False,11,1,-0.5,4
7,False,5,1,0.75,4
14,False,10,1,-0.448,29
9,False,8,1,-1.0,2
20,True,9,1,1.0,2
15,False,6,0,-0.143,28
14,True,10,0,-0.167,18
20,True,10,0,0.462,13
13,False,2,0,-0.118,34
10,False,2,1,0.0,6
10,False,5,2,0.0,4
13,False,6,3,-1.0,2
21,True,5,4,1.5,1
18,True,3,4,-2.0,1
18,False,6,4,0.0,2
16,False,10,4,-0.5,5
15,False,4,4,0.0,2
18,False,7,4,1.0,3
16,False,2,5,-1.0,1
13,False,5,5,-1.0,1
8,False,5,5,1.0,1
11,False,8,6,-2.0,1
21,True,7,7,1.5,1
16,False,10,6,-0.667,3
20,False,11,5,-0.5,4
15,False,11,5,-0.5,2
14,False,5,5,0.333,3
12,False,3,4,-0.333,3
12,False,2,4,0.0,2
12,False,4,5,-1.0,1
18,True,4,5,-2.0,1
8,False,9,6,-1.0,1
15,False,8,8,1.0,1
16,False,10,10,-0.5,1
18,False,7,10,1.0,1
18,False,7,9,1.0,1
14,False,2,0,-0.433,30
15,False,8,0,-0.571,28
19,False,11,0,-0.733,15
13,False,6,0,-0.226,31
12,False,6,0,0.0,37
8,False,9,0,-0.4,5
6,False,10,0,-0.391,23
14,False,11,0,-0.667,39
9,False,8,0,0.286,14
21,True,10,0,1.31,79
18,True,10,0,-0.067,15
16,False,2,-1,0.417,12
19,False,5,-1,0.5,4
7,False,6,-1,-0.333,3
11,False,8,0,0.381,21
12,False,8,-1,-0.091,11
17,False,2,-1,0.333,6
16,False,10,-1,-0.5,16
5,False,10,-1,0.5,4
20,False,4,-1,0.75,8
13,False,10,-1,-0.25,28
17,True,10,-2,0.0,4
15,False,4,-2,-1.0,2
18,False,3,-2,0.333,3
19,False,4,-2,0.2,5
9,False,10,-3,0.333,3
12,False,9,-3,-0.333,6
22,True,2,-2,2.0,2
14,False,10,-3,-0.75,8
16,False,3,-4,-1.0,2
16,False,5,-4,-1.0,1
13,False,10,-4,0.2,5
17,False,5,-4,-0.667,3
11,False,2,-4,2.0,2
20,False,10,-4,0.0,2
17,False,10,-5,-0.75,4
7,False,5,-6,1.0,1
20,False,3,-6,1.0,1
16,False,6,-6,-1.0,2
11,False,8,-5,0.0,2
9,False,10,-6,-1.0,2
20,False,7,-6,1.0,1
14,False,2,-8,-1.0,1
8,False,10,-7,-1.0,1
10,False,10,-7,0.0,1
14,False,5,-8,-1.0,1
12,False,11,-7,1.0,1
12,False,4,0,-0.125,40
11,False,3,0,1.333,9
20,False,7,0,0.886,35
15,True,5,0,-0.8,10
16,True,11,0,-0.5,4
6,False,7,0,0.5,10
20,True,11,0,-1.0,3
14,False,9,-1,-0.2,5
6,False,3,-1,0.4,5
16,True,9,0,0.2,5
9,False,5,-1,1.0,4
4,False,10,0,0.125,8
14,False,8,0,-0.571,21
7,False,9,0,-0.625,8
17,True,3,0,0.0,4
16,False,5,0,-0.471,17
7,False,3,0,0.667,9
21,True,7,1,1.5,7
20,False,9,0,0.857,35
13,False,8,0,-0.32,25
14,True,11,0,-0.714,7
20,True,8,0,0.5,4
10,False,11,0,0.0,13
22,True,8,-1,0.0,1
16,False,10,-3,-0.8,10
14,False,6,-3,-0.333,3
5,False,6,-2,-1.0,1
18,False,8,-1,-0.2,5
7,False,2,-1,-1.0,2
12,False,10,-1,-0.417,36
8,False,10,-1,-0.357,14
20,False,10,-1,0.4,30
7,False,6,-3,-0.333,3
13,False,10,-2,-0.105,19
15,False,4,-3,-1.0,2
20,False,10,-2,0.263,19
12,False,10,-5,0.0,2
12,False,8,-5,1.0,1
19,False,9,0,0.158,19
19,False,5,0,-0.05,20
7,False,8,0,-0.385,13
9,False,11,0,-0.176,17
21,True,5,0,1.5,19
9,False,10,0,-0.175,57
20,False,8,0,0.853,34
15,True,10,0,-0.591,22
21,True,8,0,1.5,17
17,False,9,0,-0.85,20
17,False,2,0,-0.235,17
18,False,7,0,0.621,29
17,False,7,-1,0.2,5
12,False,2,-1,-0.4,10
15,False,3,0,-0.154,26
16,False,4,0,0.294,17
6,False,6,0,-0.167,6
13,False,4,0,0.0,30
17,False,5,0,0.188,32
12,False,2,0,-0.4,25
5,False,7,0,-0.714,7
16,False,5,1,-0.25,8
11,False,4,2,1.0,2
19,False,6,2,1.0,3
15,False,10,2,-0.533,15
12,False,11,1,-0.533,15
17,False,2,1,0.0,4
14,True,3,0,-0.5,4
14,True,5,0,0.0,7
12,False,9,1,-0.727,11
14,False,4,2,-0.143,7
14,False,10,2,-0.4,15
22,True,10,4,2.0,1
11,False,7,5,2.0,1
7,False,4,5,1.0,1
13,True,4,0,0.0,6
13,False,9,0,-0.233,30
15,False,11,0,-0.603,29
15,False,7,0,-0.269,26
18,False,3,1,0.111,9
17,False,6,1,0.0,3
20,False,5,1,1.0,6
19,False,7,0,0.438,16
20,False,6,0,0.629,35
8,False,3,0,-0.133,15
21,True,10,1,1.357,21
9,False,4,0,1.25,8
8,False,10,0,-0.409,44
18,False,6,1,0.0,4
19,False,5,1,0.2,5
4,False,8,0,-0.333,3
21,True,11,0,1.269,13
15,True,9,-1,-1.0,1
14,False,9,0,-0.407,27
15,True,10,1,0.0,5
13,False,2,-2,-0.2,5
14,True,10,-2,-0.4,5
18,False,10,-1,-0.294,17
11,False,9,-2,1.333,3
16,False,3,0,-0.462,13
17,True,4,0,-1.556,9
20,False,5,0,0.475,40
16,False,8,0,-0.75,12
13,False,5,0,-0.368,38
16,True,10,0,-0.111,18
10,False,2,0,0.154,13
14,False,4,0,-0.391,23
14,False,6,1,-0.5,8
15,False,8,1,-0.25,8
13,False,6,1,0.0,4
14,False,3,1,-1.0,5
9,False,2,2,0.0,2
13,False,7,3,-1.0,3
13,False,8,3,1.0,2
20,False,6,3,1.0,3
21,True,3,2,1.5,3
10,False,4,1,0.667,3
16,False,10,2,-0.528,18
13,True,6,2,0.0,2
11,False,5,3,1.0,4
20,False,9,3,1.0,4
13,False,7,2,-0.556,9
19,False,2,2,1.0,1
10,False,10,2,-0.4,15
11,False,8,2,0.0,2
14,False,7,2,-0.333,3
20,False,10,2,0.333,24
16,True,6,2,2.0,1
6,False,3,2,-1.0,1
12,False,7,3,-1.0,2
11,False,6,3,1.333,3
17,True,10,4,-1.0,1
17,False,8,3,0.0,1
12,False,10,3,-0.5,8
12,False,2,3,-0.167,6
14,False,7,3,0.0,2
10,False,6,4,-2.0,1
19,True,11,5,-1.0,1
7,False,9,4,-0.5,2
13,False,5,6,0.0,2
7,False,4,6,1.0,1
18,False,9,7,1.0,1
10,False,3,7,-2.0,1
12,False,7,0,-0.351,37
19,False,10,0,-0.059,68
14,False,3,0,-0.265,34
20,False,11,0,0.206,34
13,False,7,-1,0.429,7
11,False,9,-1,0.8,5
13,False,11,-1,-1.0,3
19,False,4,-1,0.667,6
12,False,9,-1,-0.364,11
7,False,4,-1,-1.0,3
11,False,9,0,0.091,22
15,False,2,0,-0.4,20
19,False,8,0,0.75,20
8,False,7,-1,0.75,4
19,False,10,-1,-0.111,18
20,False,9,-1,0.4,5
16,False,11,-2,-1.0,1
9,False,11,-2,-0.6,5
16,False,4,-2,1.0,4
13,False,4,-2,-0.333,6
13,True,3,-1,-0.667,6
13,False,2,-1,-0.5,12
6,False,8,-2,-0.25,4
16,False,7,-1,-0.667,6
13,True,6,-1,-2.0,2
14,False,5,-1,-1.0,5
19,False,11,-1,0.4,5
17,False,4,-1,0.0,9
11,False,4,-2,1.5,4
20,False,2,-2,0.667,3
16,False,10,-2,-0.75,8
11,False,2,-3,-0.667,3
15,True,10,-2,-0.167,6
14,False,3,-2,0.0,1
7,False,3,-2,0.0,2
17,False,7,-2,-0.429,7
14,False,10,-2,-0.6,5
20,True,3,-4,1.0,1
14,True,5,-4,2.0,1
8,False,2,-4,1.0,1
5,False,3,-3,-1.0,1
9,False,5,0,0.133,15
15,True,5,1,2.0,2
19,False,6,1,0.6,5
21,True,4,1,1.5,1
16,False,3,1,-0.714,7
19,False,9,1,-0.333,3
14,True,2,1,-0.25,4
22,True,10,1,0.8,5
13,False,11,0,-0.5,26
7,False,7,0,0.222,9
5,False,11,0,-0.625,8
18,True,5,0,-0.8,5
18,False,2,0,0.455,22
18,True,9,0,-0.75,4
20,False,11,-1,0.5,8
8,False,2,0,-0.222,9
18,False,8,0,0.294,17
10,False,4,0,-0.133,15
6,False,11,0,-0.667,12
4,False,6,0,-2.667,3
10,False,5,-1,0.667,6
21,True,9,0,1.5,15
14,False,6,-1,0.4,10
18,False,5,-1,0.2,5
18,False,3,-1,0.2,10
8,False,7,0,0.111,9
6,False,11,-1,-0.6,5
19,True,10,0,0.4,15
10,False,7,0,0.533,15
20,False,2,1,1.0,6
11,False,10,1,0.0,13
13,False,5,1,0.0,6
8,False,11,1,-1.0,1
16,True,11,1,0.0,2
20,False,4,1,0.429,7
10,False,3,0,-0.182,11
21,True,6,1,1.5,6
15,False,7,1,-1.0,5
15,False,3,2,0.0,2
16,False,6,2,1.0,2
19,False,8,2,1.0,4
19,False,3,2,0.0,3
19,False,4,2,1.0,2
7,False,8,2,1.0,2
16,True,10,3,0.0,2
20,False,2,3,0.5,4
14,False,10,3,-0.556,9
11,False,3,3,-2.0,1
15,False,4,3,0.0,4
20,False,8,3,0.6,5
20,False,10,3,0.5,14
16,True,6,1,-0.667,3
10,False,3,2,-1.0,4
14,False,2,2,-0.143,7
17,True,10,2,-0.333,3
17,False,11,1,-0.7,5
17,False,10,-2,0.571,7
21,True,9,-3,1.5,1
16,True,3,0,-0.222,9
17,False,10,1,-0.538,26
6,False,5,1,-0.6,5
20,False,3,1,0.75,8
16,False,6,1,-0.2,5
18,True,6,1,-2.0,1
14,False,9,1,-0.7,10
14,True,8,1,1.0,2
16,False,8,2,-0.667,6
7,False,3,1,0.0,2
12,False,5,2,-1.0,5
15,True,4,2,0.0,2
10,False,6,2,-0.4,5
5,False,11,2,1.0,1
12,False,8,3,0.0,2
15,True,8,3,-1.0,1
18,False,10,2,-0.077,13
13,True,8,2,-1.0,1
15,False,2,2,-0.143,7
6,False,10,2,-0.5,4
14,False,3,3,0.0,2
21,True,2,3,1.5,2
15,True,10,4,-1.0,2
13,False,10,3,-0.714,7
7,False,4,2,1.0,1
21,True,10,3,1.5,6
4,False,5,1,-1.0,2
11,False,10,3,0.0,4
15,False,7,2,-0.333,3
10,False,10,4,0.25,8
19,False,10,4,0.2,5
15,False,9,2,-0.333,6
8,False,10,2,0.375,8
17,False,6,0,-0.105,19
11,False,7,0,1.0,16
19,True,9,0,0.8,5
19,False,9,-1,-0.667,3
11,False,10,-1,-0.083,12
11,False,11,-1,1.2,5
12,False,5,-1,-0.333,15
16,True,8,-1,0.0,2
17,False,10,-1,-0.5,18
8,False,4,-1,-0.143,7
9,False,8,-1,-0.833,6
15,False,8,-1,-0.444,9
12,False,4,-1,0.636,11
13,False,6,-1,-0.333,6
20,False,6,-2,0.833,6
9,False,5,-2,0.0,2
14,False,8,-2,-0.333,3
7,False,6,-2,0.25,4
14,False,2,-1,-0.6,10
21,True,10,-1,1.227,11
13,False,3,-2,-1.0,4
17,True,6,-1,2.0,2
19,False,3,-2,1.0,3
13,False,9,-1,-0.333,3
15,False,11,-1,-0.5,4
15,False,7,-2,-0.25,4
16,False,7,-2,-0.5,4
19,True,3,-1,0.5,4
15,False,8,-2,-1.0,3
15,False,9,-1,-0.333,6
10,False,3,-1,1.5,4
13,False,4,-1,-0.286,14
18,False,7,-2,0.0,2
11,False,10,-3,-2.0,4
13,True,3,-2,0.333,3
12,False,6,-2,-1.25,8
14,False,10,-1,-0.5,26
9,False,2,-1,0.333,3
4,False,4,-2,-1.5,2
14,False,3,-1,0.125,8
6,False,10,-1,-0.5,10
16,False,8,-2,-0.333,6
12,False,2,-2,-1.0,3
20,False,5,-2,0.667,6
21,True,5,-2,1.5,2
21,True,7,-3,1.5,1
21,True,8,-3,1.5,2
12,False,7,-4,0.333,3
12,False,10,-4,0.0,4
21,True,10,-5,1.125,4
13,False,6,-6,0.0,2
13,False,11,-6,-1.0,1
16,False,10,-6,-0.5,1
14,False,10,-7,1.0,1
16,False,5,-7,-1.0,1
17,True,7,-7,1.0,1
20,False,8,-6,1.0,1
15,False,10,-6,-0.5,1
13,False,7,-7,-1.0,1
16,False,3,-6,-1.0,1
11,False,4,-6,0.0,1
16,False,4,-5,-1.0,1
13,True,9,-5,1.0,1
14,True,9,-5,0.0,1
15,False,4,-4,0.0,2
15,False,2,-3,-1.0,2
13,False,3,-4,-0.6,5
16,False,11,-4,-0.5,1
20,False,2,-4,1.0,1
9,False,10,-5,-0.333,3
20,False,2,-5,1.0,2
19,True,5,-6,1.0,1
11,False,10,-4,-2.0,2
13,False,10,-5,-1.0,3
14,False,9,-5,-1.0,1
14,False,10,-5,0.0,1
18,False,6,0,0.0,20
14,True,6,0,-1.0,4
17,False,3,0,-0.043,23
13,True,6,0,0.667,6
18,False,3,0,-0.412,17
15,True,2,0,0.333,3
21,True,4,0,1.5,14
21,True,9,1,1.5,5
13,False,11,1,-0.5,4
15,False,11,1,-0.611,9
20,False,9,1,0.909,11
11,False,4,1,-1.2,5
5,False,10,2,-0.25,4
20,True,4,2,0.5,2
14,False,11,2,-1.0,5
19,False,7,1,0.5,4
6,False,7,1,0.0,2
16,False,11,1,-0.583,6
4,False,3,0,2.0,2
20,True,6,1,1.0,2
14,False,6,2,0.0,5
18,False,7,5,1.0,2
20,False,9,4,1.0,3
15,False,11,4,-0.5,2
16,False,2,4,1.0,1
11,False,6,0,1.385,13
15,True,6,1,-0.667,3
12,False,8,1,0.333,6
11,False,2,0,1.0,12
6,False,6,1,-3.0,2
19,False,8,1,0.8,5
16,True,4,1,0.0,2
15,False,6,1,-0.143,7
15,False,6,2,0.333,3
20,False,3,2,0.8,5
14,False,3,2,1.0,4
13,False,10,2,-0.583,12
19,True,10,2,-1.0,2
14,False,2,1,-0.667,6
16,True,10,1,0.5,4
8,False,2,1,0.5,4
15,False,11,2,-0.786,7
13,False,6,2,-0.333,3
15,False,11,3,-0.75,2
4,False,3,3,0.0,2
13,False,8,4,1.0,1
13,False,5,4,-1.0,1
18,False,11,4,-1.0,3
21,True,9,4,1.5,2
13,False,11,5,-1.0,1
21,True,10,4,1.286,7
16,False,10,3,-0.5,6
19,False,9,3,0.0,4
9,False,9,3,1.0,1
21,True,7,3,1.5,2
12,False,6,3,1.0,2
19,True,10,3,1.0,2
20,False,4,3,0.8,5
12,False,9,3,-0.333,6
9,False,8,2,0.333,3
15,False,4,1,-1.0,6
15,False,8,2,0.5,2
8,False,11,3,-1.0,1
6,False,8,-1,-1.0,1
20,True,6,-1,1.0,1
9,False,3,-1,0.0,2
15,False,5,-1,-0.6,5
4,False,5,-1,4.0,1
11,False,2,-1,-0.5,4
20,False,10,-3,0.429,7
17,False,10,-3,0.0,3
7,False,9,-3,1.0,1
7,False,10,-3,0.0,2
19,True,10,-2,1.0,2
12,False,2,-3,0.2,5
8,False,10,-3,0.0,2
13,False,6,-3,1.0,1
9,False,5,-3,-2.0,1
10,False,11,-2,-0.5,4
16,False,6,-2,-1.0,1
13,False,8,-1,-0.778,9
10,False,9,-2,0.0,2
14,True,3,-1,-1.0,1
11,False,3,-1,-0.667,6
9,False,11,-1,0.143,7
13,True,9,0,0.0,4
19,True,6,0,-0.667,3
11,False,4,-1,0.0,10
17,False,11,-1,-0.667,6
